Dataset Name,Observation Date,Series Key,Series Display Name,Observation Value,Unit,Observation Status,Observation Status Comment,Sequence No.,Series name
Gold and Foreign Exchange Reserves of Pakistan,28-Feb-26,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),0.511774259,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,28-Feb-26,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),2023.195808,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,28-Feb-26,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),16.63758456,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,28-Feb-26,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),2552.084032,Million USD,Normal,,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-26,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),10374.84146,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-26,TS_GP_EXT_PAKRES_M.Z00030,. Net Reserves with SBP (2=4+5-9),16157.2,Million USD,Normal,,2,Net Reserves with SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-26,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),16255.66377,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-26,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),237.521303,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-26,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),15919.64877,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-26,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),75.728185,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-26,TS_GP_EXT_PAKRES_M.Z00014,....... ACU Balances Net (7),22.60090304,Million USD,Normal,,7,Net Asian clearing unit balances
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-26,TS_GP_EXT_PAKRES_M.Z00015,....... IMF reserve position (8),0.16461089,Million USD,Normal,,8,IMF reserve position
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-26,TS_GP_EXT_PAKRES_M.Z00050,. Net Reserves With Banks (10=12-15),4814.581486,Million USD,Normal,,10,Net Reserves With Banks
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-26,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2180.185984,Million USD,Normal,,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-26,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),6917.268141,Million USD,Normal,,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-26,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),-38.96053543,Million USD,Normal,,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-26,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),0.726127687,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-26,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),2102.686655,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-26,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),17.33777695,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-26,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),2578.823317,Million USD,Normal,,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-25,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),9095.365185,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-25,TS_GP_EXT_PAKRES_M.Z00030,. Net Reserves with SBP (2=4+5-9),16053.5,Million USD,Normal,,2,Net Reserves with SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-25,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),16186.91908,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-25,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),235.5760398,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-25,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),15817.9265,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-25,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),75.728185,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-25,TS_GP_EXT_PAKRES_M.Z00014,....... ACU Balances Net (7),57.52509417,Million USD,Normal,,7,Net Asian clearing unit balances
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-25,TS_GP_EXT_PAKRES_M.Z00015,....... IMF reserve position (8),0.163261799,Million USD,Normal,,8,IMF reserve position
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-25,TS_GP_EXT_PAKRES_M.Z00050,. Net Reserves With Banks (10=12-15),4784.793635,Million USD,Normal,,10,Net Reserves With Banks
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-25,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2069.678813,Million USD,Normal,,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-25,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),6959.846071,Million USD,Normal,,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-25,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),-161.9131379,Million USD,Normal,,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-25,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),1.771148824,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-25,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),2175.052436,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-25,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),13.29401546,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-25,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),2541.678818,Million USD,Normal,,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-25,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),8726.634333,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-25,TS_GP_EXT_PAKRES_M.Z00030,. Net Reserves with SBP (2=4+5-9),14588.8,Million USD,Normal,,2,Net Reserves with SBP
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-25,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),14679.29902,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-25,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),28.68662913,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-25,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),14560.14354,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-25,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),73.388805,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-25,TS_GP_EXT_PAKRES_M.Z00014,....... ACU Balances Net (7),16.91823017,Million USD,Normal,,7,Net Asian clearing unit balances
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-25,TS_GP_EXT_PAKRES_M.Z00015,....... IMF reserve position (8),0.161816824,Million USD,Normal,,8,IMF reserve position
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-25,TS_GP_EXT_PAKRES_M.Z00050,. Net Reserves With Banks (10=12-15),4546.757139,Million USD,Normal,,10,Net Reserves With Banks
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-25,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),1999.742967,Million USD,Normal,,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-25,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),6875.82388,Million USD,Normal,,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-25,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),-115.3941928,Million USD,Normal,,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-25,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),0.470710778,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-25,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),2329.066741,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-25,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),11.9958184,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-25,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),2420.094872,Million USD,Normal,,17,FE-25 utilization-Others
