Dataset Name,Observation Date,Series Key,Series Display Name,Observation Value,Unit,Observation Status,Observation Status Comment,Sequence No.,Series name
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-08,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),7107,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-08,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),180,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-08,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),6492,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-08,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),435,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-08,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2612,Million USD,Normal,,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-08,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),3930,Million USD,Normal,,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-08,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),-213,Million USD,Normal,,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-08,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),20,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-08,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),591,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-08,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),42,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-08,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),492,Million USD,Normal,,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,31-Dec-08,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),11510,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-08,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),1686,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-08,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),6151,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-08,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),180,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-08,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),5753,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-08,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),218,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-08,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2612,Million USD,Normal,,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-08,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),3775,Million USD,Normal,,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-08,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),-41,Million USD,Normal,,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-08,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),24,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-08,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),660,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-08,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),44,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-08,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),442,Million USD,Normal,,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,30-Nov-08,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),10449,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-08,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),1513,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-08,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),3615,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-08,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),199,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-08,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),3327,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-08,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),89,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-08,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2433,Million USD,Normal,,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-08,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),3819,Million USD,Normal,,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-08,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),-216,Million USD,Normal,,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-08,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),21,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-08,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),636,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-08,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),35,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-08,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),520,Million USD,Normal,,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,31-Oct-08,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),7561,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-08,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),1831,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-08,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),5454,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-08,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),207,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-08,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),4961,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-08,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),286,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-08,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2521,Million USD,Normal,,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-08,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),4126,Million USD,Normal,,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-08,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),-358,Million USD,Normal,,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-08,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),301,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-08,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),787,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-08,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),35,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-08,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),726,Million USD,Normal,,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,30-Sept-08,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),9806,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-08,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),1724,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-08,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),6357,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-08,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),208,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-08,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),5924,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-08,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),225,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-08,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2714,Million USD,Normal,,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-08,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),4208,Million USD,Normal,,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-08,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),-268,Million USD,Normal,,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-08,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),194,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-08,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),863,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-08,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),24,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-08,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),533,Million USD,Normal,,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,31-Aug-08,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),10795,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,31-Jul-08,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),1900,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Jul-08,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),7421,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Jul-08,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),216,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,31-Jul-08,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),7009,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Jul-08,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),196,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,31-Jul-08,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2806,Million USD,Normal,,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Jul-08,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),4253,Million USD,Normal,,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Jul-08,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),-180,Million USD,Normal,,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Jul-08,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),185,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Jul-08,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),1062,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,31-Jul-08,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),33,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,31-Jul-08,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),357,Million USD,Normal,,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,31-Jul-08,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),12127,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,30-Jun-08,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),1926,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Jun-08,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),8745,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Jun-08,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),217,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,30-Jun-08,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),8365,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,30-Jun-08,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),163,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,30-Jun-08,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),2765,Million USD,Normal,,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Jun-08,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),4168,Million USD,Normal,,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Jun-08,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),105,Million USD,Normal,,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Jun-08,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),303,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Jun-08,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),1346,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,30-Jun-08,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),28,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,30-Jun-08,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),437,Million USD,Normal,,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,30-Jun-08,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),13436,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,31-May-08,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),1834,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,31-May-08,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),8771,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-May-08,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),220,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,31-May-08,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),8485,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,31-May-08,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),66,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,31-May-08,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),1745,Million USD,Normal,,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-May-08,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),4098,Million USD,Normal,,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,31-May-08,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),-88,Million USD,Normal,,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,31-May-08,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),37,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,31-May-08,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),1525,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,31-May-08,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),40,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,31-May-08,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),737,Million USD,Normal,,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,31-May-08,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),12350,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-08,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),1803,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-08,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),10099,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-08,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),221,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-08,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),9843,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-08,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),35,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-08,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),1585,Million USD,Normal,,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-08,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),4059,Million USD,Normal,,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-08,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),-144,Million USD,Normal,,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-08,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),41,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-08,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),1765,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-08,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),34,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-08,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),572,Million USD,Normal,,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,30-Apr-08,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),13487,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-08,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),1932,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-08,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),11156,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-08,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),217,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-08,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),10903,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-08,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),36,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-08,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),1727,Million USD,Normal,,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-08,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),4027,Million USD,Normal,,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-08,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),-29,Million USD,Normal,,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-08,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),200,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-08,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),1875,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-08,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),35,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-08,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),561,Million USD,Normal,,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,31-Mar-08,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),14815,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-08,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),2011,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-08,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),11951,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-08,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),213,Million USD,Normal,,4,Special Drawing rights holdings
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-08,TS_GP_EXT_PAKRES_M.Z00013,....... Nostro balances (5),11709,Million USD,Normal,,5,Nostro balances of SBP
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-08,TS_GP_EXT_PAKRES_M.Z00012,....... Cash Foreign Currency (6),29,Million USD,Normal,,6,Cash Foreign Currency with SBP-BSC
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-08,TS_GP_EXT_PAKRES_M.Z00040,. Total Banks Reserves (11=12+13+14-15-16-17),1623,Million USD,Normal,,11,Total Banks Reserves
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-08,TS_GP_EXT_PAKRES_M.Z00017,....... FE-25 deposits (12),3988,Million USD,Normal,,12,FE-25 deposits of banks
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-08,TS_GP_EXT_PAKRES_M.Z00018,....... Trade Nostro (13),-111,Million USD,Normal,,13,Trade Nostro of banks
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-08,TS_GP_EXT_PAKRES_M.Z00019,....... Placement abroad (other than FE-25) (14),166,Million USD,Normal,,14,Place abroad(other than FE-25) of banks
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-08,TS_GP_EXT_PAKRES_M.Z00021,....... Trade Finance (15),1881,Million USD,Normal,,15,Trade Finance from FCA
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-08,TS_GP_EXT_PAKRES_M.Z00022,....... FE-25 Placements in Pakistan (16),34,Million USD,Normal,,16,FE-25 Placements of banks in Pakistan
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-08,TS_GP_EXT_PAKRES_M.Z00023,....... Others (17),505,Million USD,Normal,,17,FE-25 utilization-Others
Gold and Foreign Exchange Reserves of Pakistan,29-Feb-08,TS_GP_EXT_PAKRES_M.Z00070,. Total Reserve Assets (18=1+3+11),15585,Million USD,Normal,,18,Total Reserve Assets
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-08,TS_GP_EXT_PAKRES_M.Z00010,. Gold (1),1911,Million USD,Normal,,1,Gold reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-08,TS_GP_EXT_PAKRES_M.Z00020,. Total SBP Reserves (3=4+5+6+7+8-9),12582,Million USD,Normal,,3,Total SBP Reserves
Gold and Foreign Exchange Reserves of Pakistan,31-Jan-08,TS_GP_EXT_PAKRES_M.Z00011,....... SDR holdings (4),212,Million USD,Normal,,4,Special Drawing rights holdings
